Id. urządzenia,Kod urządzenia,Opis urządzenia,Id. typu urządzenia,Kod typu urządzenia,Kategoria typu urządzenia,Id. obiektu urządzenia,Id. grupy urządzenia,Typ komunikacji,Adres urządzenia,Kod budynku,Status opisu,Stan urządzenia,Kod miasta,Adres GPS urządzenia,Adres IP urządzenia,Instr. urządzenia,Instr. alarm. urządzenia,Instr. urządzenia(param.),Plan_przeglądów,Czas aktualizacji,Id. miasta,Id. budynku,Kod FK urządzenia,Numer urządzenia
5065,LC K20-14 CO,Licznik CO BSM/C,17,Licznik CO(O),R,32,543,"BSM,1,1,1,44,CO",Modrzewskiego 1,Miasto,A,Praca,Białogard,"54,0123001 15,9867220",,,,,,2017-06-07 15:29,2,1,,
5066,LC K20-15 CO,Licznik CO BSM/C,17,Licznik CO(O),R,32,543,"BSM,1,2,1,43,CO",Modrzewskiego 2,Miasto,A,Praca,Białogard,"54,0121268 15,9863786",,,,,,2017-06-07 15:29,2,1,,
5067,LC K20-16 CO,Licznik CO BSM/C,17,Licznik CO(O),R,32,543,"BSM,1,3,1,51,CO",Modrzewskiego 3,Miasto,A,Praca,Białogard,"54,0123852 15,9872852",,,,,,2017-06-07 15:29,2,1,,
5068,LC K20-17 CO,Licznik CO BSM/C,17,Licznik CO(O),R,32,543,"BSM,1,10,1,46,CO",Modrzewskiego 4,Miasto,A,Praca,Białogard,"54,0120795 15,9873228",,,,,,2017-06-07 15:29,2,1,,
5069,LC K20-18 CO,Licznik CO WSP ZNW,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",Reja 2,Miasto,A,Praca,Białogard,"54,0112987 15,9863892",,,,,,2017-06-07 15:29,2,1,,
5070,LC K20-19 CO,Licznik CO WSP ZNW,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",Reja 4,Miasto,A,Praca,Białogard,"54,0115495 15,9873620",,,,,,2017-06-07 15:29,2,1,,
5071,LC K20-20 CO,Licznik CO PKP,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",Słowackiego 11,Miasto,A,Praca,Białogard,"54,0104185 15,9874726",,,,,,2017-06-07 15:29,2,1,,
5072,LC K20-21 CO,Licznik CO BSM/CD,17,Licznik CO(O),R,32,543,"BSM,1,9,1,47,CO",Wyspiańskiego 15,Miasto,A,Praca,Białogard,"54,0127764 15,9858847",,,,,,2017-06-07 15:29,2,1,,
5073,LC K20-22 CO,Licznik CO BSM/CD,17,Licznik CO(O),R,32,543,"BSM,1,118,1,52,CO",Wyspiańskiego 17,Miasto,A,Praca,Białogard,"54,0128899 15,9869147",,,,,,2017-06-07 15:29,2,1,,
5074,LC K20-23 CO,Licznik CO BSM/CD,17,Licznik CO(O),R,32,543,"BSM,1,11,1,29,CO",Zamojskiego 14,Miasto,A,Praca,Białogard,"54,0110111 15,9857882",,,,,,2017-06-07 15:29,2,1,,
5075,LC K20-24 CO,Licznik CO BSM/CD,17,Licznik CO(O),R,32,543,"BSM,1,6,1,53,CO",Zamojskiego 18,Miasto,A,Praca,Białogard,"54,0124738 15,9852517",,,,,,2017-06-07 15:29,2,1,,
5076,LC K30-01 CO,Licznik CO BTBS-32,17,Licznik CO(O),R,33,573,"BSM,1,29,1,13,CO",Chopina 27B,Miasto,A,Praca,Białogard,"54,0075781 16,0059077",,,,,,2017-06-07 15:29,2,1,,
5077,LC K30-02 CO,Licznik CO BTBS-32,17,Licznik CO(O),R,33,573,"BSM,1,30,1,14,CO",Chopina 27C,Miasto,A,Praca,Białogard,"54,0075529 16,0056073",,,,,,2017-06-07 15:29,2,1,,
5078,LC K30-03 CO,Licznik CO ZNW-74,17,Licznik CO(O),R,33,574,"BSM,1,27,1,63,CO",Moniuszki 19B,Miasto,A,Praca,Białogard,"54,0056396 16,0047018",,,,,,2017-06-07 15:29,2,1,,
5079,LC K30-04 CO,Licznik CO ZNW-74,17,Licznik CO(O),R,33,574,"BSM,1,26,1,15,CO",Moniuszki 19D,Miasto,A,Praca,Białogard,"54,0059864 16,0049056",,,,,,2017-06-07 15:29,2,1,,
5080,LC K30-05 CO,Licznik CO ZNW-86,17,Licznik CO(O),R,33,573,"BSM,1,122,1,8,CO",Nowowiejskiego 2B,Miasto,A,Praca,Białogard,"54,0055409 16,0054401",,,,,,2017-06-07 15:29,2,1,,
5081,LC K30-06 CO,Licznik CO ZNW-86,17,Licznik CO(O),R,33,573,"BSM,1,105,1,9,CO",Nowowiejskiego 2D,Miasto,A,Praca,Białogard,"54,0058688 16,0054508",,,,,,2017-06-07 15:29,2,1,,
5082,LC K30-07 CO,Licznik CO ZNW-86,17,Licznik CO(O),R,33,573,"BSM,1,31,1,7,CO",Nowowiejskiego 2F,Miasto,A,Praca,Białogard,"54,0061273 16,0055796",,,,,,2017-06-07 15:29,2,1,,
5083,LC K30-08 CO,Licznik CO ZNW-86,17,Licznik CO(O),R,33,573,"BSM,1,123,1,12,CO",Nowowiejskiego 2H,Miasto,A,Praca,Białogard,"54,0064489 16,0056976",,,,,,2017-06-07 15:29,2,1,,
5084,LC K30-09 CO,Licznik CO ZNW-73,17,Licznik CO(O),R,33,574,"BSM,1,106,1,11,CO",Nowowiejskiego 4A,Miasto,A,Praca,Białogard,"54,0065561 16,0052899",,,,,,2017-06-07 15:29,2,1,,
5085,LC K30-10 CO,Licznik CO ZNW-73,17,Licznik CO(O),R,33,574,"BSM,1,32,1,2,CO",Nowowiejskiego 4C,Miasto,A,Praca,Białogard,"54,0067704 16,0053865",,,,,,2017-06-07 15:29,2,1,,
5086,LC K30-11 CO,Licznik CO ZNW-83,17,Licznik CO(O),R,33,573,"BSM,1,107,1,65,CO",Nowowiejskiego 6A,Miasto,A,Praca,Białogard,"54,0068020 16,0059765",,,,,,2017-06-07 15:29,2,1,,
5087,LC K30-12 CO,Licznik CO ZNW-83,17,Licznik CO(O),R,33,573,"BSM,1,28,1,10,CO",Nowowiejskiego 6C,Miasto,A,Praca,Białogard,"54,0072749 16,0061804",,,,,,2017-06-07 15:29,2,1,,
5088,LC K30-13 CO,Licznik CO BSM/A,17,Licznik CO(O),R,33,574,"BSM,1,102,1,22,CO",Piastów 29,Miasto,A,Praca,Białogard,"54,0067641 16,0044745",,,,,,2017-06-07 15:29,2,1,,
5089,LC K30-14 CO,Licznik CO BSM/A,17,Licznik CO(O),R,33,574,"BSM,1,100,1,66,CO",Piastów 27 A-B,Miasto,A,Praca,Białogard,"54,0074325 16,0047427",,,,,,2017-06-07 15:29,2,1,,
5090,LC K30-15 CO,Licznik CO BSM/A,17,Licznik CO(O),R,33,574,"BSM,1,101,1,4,CO",Piastów 27 C-D,Miasto,A,Praca,Białogard,"54,0070794 16,0046140",,,,,,2017-06-07 15:29,2,1,,
5091,LC K30-16 CO,Licznik CO BSM/A,17,Licznik CO(O),R,33,574,"BSM,1,103,1,35,CO",Piastów 31 A-B,Miasto,A,Praca,Białogard,"54,0063858 16,0044745",,,,,,2017-06-07 15:29,2,1,,
5092,LC K30-17 CO,Licznik CO BSM/A,17,Licznik CO(O),R,33,574,"BSM,1,104,1,48,CO",Piastów 31 C,Miasto,A,Praca,Białogard,"54,0063165 16,0050646",,,,,,2017-06-07 15:29,2,1,,
5093,LC K30-18 CO,Licznik CO BSM/A,17,Licznik CO(O),R,33,574,"BSM,1,33,1,40,CO",Piastów 35,Miasto,A,Praca,Białogard,"54,0060706 16,0041741",,,,,,2017-06-07 15:29,2,1,,
5094,LC K40-01 CO,Licznik CO BSM Białogard,17,Licznik CO(O),R,34,543,"BSM,1,110,1,25,CO",Bogusława X 1,Miasto,A,Praca,Białogard,"54,0115774 16,0035947",,,,,,2017-06-07 15:29,2,1,,
5095,LC K40-02 CW,Licznik CW BSM/CW,18,Licznik CW(O),R,34,543,"BSM,1,110,1,25,CW",Bogusława X 1,Miasto,A,Praca,Białogard,"54,0115774 16,0035947",,,,,,2017-06-07 15:29,2,1,,
5096,LC K40-03 CO,Licznik CO ZNW-79,17,Licznik CO(O),R,34,543,"BSM,1,132,1,54,CO",Bolesława Śmiałego 61-63,Miasto,A,Praca,Białogard,"54,0114550 16,0009018",,,,,,2017-06-07 15:29,2,1,,
5097,LC K40-04 CW,Licznik CW ZNW-79,18,Licznik CW(O),R,34,543,"BSM,1,132,1,54,CW",Bolesława Śmiałego 61-63,Miasto,A,Praca,Białogard,"54,0114550 16,0009018",,,,,,2017-06-07 15:29,2,1,,
5098,LC K20-25 CO,Licznik CO Groński,17,Licznik CO(O),R,32,543,"MAN,0,0,0,0,CO",Kochanowskiego 3,Miasto,A,Praca,Białogard,"54,0100282 15,9856885",,,,,,2017-06-07 15:29,2,1,,
5099,LC K40-06 ,Licznik FREE 1,18,Licznik CW(O),R,0,0,"OUT,0,0,0,0,CW",,Miasto,A,Praca,Białogard,,,,,,,2017-06-07 15:29,2,1,,
5100,LC K40-07 CO,Licznik CO BSM-Białogard,17,Licznik CO(O),R,34,543,"BSM,1,108,1,28,CO",Bolesława Śmiałego 65,Miasto,A,Praca,Białogard,"54,0110641 16,0020605",,,,,,2017-06-07 15:29,2,1,,
5101,LC K40-08 CW,Licznik CW BSM/CW,18,Licznik CW(O),R,34,543,"BSM,1,108,1,28,CW",Bolesława Śmiałego 65,Miasto,A,Praca,Białogard,"54,0110641 16,0020605",,,,,,2017-06-07 15:29,2,1,,
5102,LC K40-09 CO,Licznik CO BSM Białogard,17,Licznik CO(O),R,34,543,"BSM,1,109,1,26,CO",Bolesława Śmiałego 65 A,Miasto,A,Praca,Białogard,"54,0114928 16,0021249",,,,,,2017-06-07 15:29,2,1,,
5103,LC K40-10 CW,Licznik CW BSM/CW,18,Licznik CW(O),R,34,543,"BSM,1,109,1,26,CW",Bolesława Śmiałego 65 A,Miasto,A,Praca,Białogard,"54,0114928 16,0021249",,,,,,2017-06-07 15:29,2,1,,
5104,LC K40-11 CO,Licznik CO WMN,17,Licznik CO(O),R,34,543,"MAN,0,0,0,0,CO",Bolesława Śmiałego 53-59,Miasto,A,Praca,Białogard,"54,0117260 16,0001937",,,,,,2017-06-07 15:29,2,1,,
5105,LC K40-12 CW,Licznik CW WMN,18,Licznik CW(O),R,34,543,"MAN,0,0,0,0,CW",Bolesława Śmiałego 53-59,Miasto,A,Praca,Białogard,"54,0117260 16,0001937",,,,,,2017-06-07 15:29,2,1,,
5106,LC K40-13 CO,Licznik CO ZNW-84,17,Licznik CO(O),R,34,543,"BSM,1,121,1,50,CO",Zwycięstwa 40,Miasto,A,Praca,Białogard,"54,0112469 16,0034982",,,,,,2017-06-07 15:29,2,1,,
5107,LC K40-14 CW,Licznik CW ZNW-84,18,Licznik CW(O),R,34,543,"BSM,1,121,1,50,CW",Zwycięstwa 40,Miasto,A,Praca,Białogard,"54,0112469 16,0034982",,,,,,2017-06-07 15:29,2,1,,
5108,LC K50-01 CO,Licznik CO BSM/S,17,Licznik CO(O),R,35,633,"BSM,1,24,1,17,CO",Lelewela 1,Miasto,A,Praca,Białogard,"54,0063273 15,9832254",,,,,,2017-06-07 15:29,2,1,,
5109,LC K50-02 CO,Licznik CO BSM/S,17,Licznik CO(O),R,35,633,"BSM,1,23,1,18,CO",Lelewela 3,Miasto,A,Praca,Białogard,"54,0064732 15,9837833",,,,,,2017-06-07 15:29,2,1,,
5110,LC K50-03 CO,Licznik CO BSM/S,17,Licznik CO(O),R,35,633,"BSM,1,22,1,21,CO",Lelewela 5,Miasto,A,Praca,Białogard,"54,0066930 15,9843627",,,,,,2017-06-07 15:29,2,1,,
