Id. urządzenia,Kod urządzenia,Opis urządzenia,Id. typu urządzenia,Kod typu urządzenia,Kategoria typu urządzenia,Id. obiektu urządzenia,Id. grupy urządzenia,Typ komunikacji,Adres urządzenia,Kod budynku,Status opisu,Stan urządzenia,Kod miasta,Adres GPS urządzenia,Adres IP urządzenia,Instr. urządzenia,Instr. alarm. urządzenia,Instr. urządzenia(param.),Plan_przeglądów,Czas aktualizacji,Id. miasta,Id. budynku,Kod FK urządzenia,Numer urządzenia
5135,LC K70-07 CO,Licznik CO  BTBS-39,17,Licznik CO(O),R,37,693,"MAN,0,0,0,0,CO",Raczyńskiego 5,Miasto,A,Praca,Białogard,"54,0063724 15,9872891",,,,,,2017-06-07 15:29,2,1,,
5136,LC K70-08 ,Licznik FREE3,18,Licznik CW(O),R,0,0,"OUT,0,0,0,0,CW",,Miasto,A,Praca,Białogard,,,,,,,2017-06-07 15:29,2,1,,
5137,LC K70-09 CO,Licznik CO Netto,17,Licznik CO(O),R,37,693,"MAN,0,0,0,0,CO",1 maja 9,Miasto,A,Praca,Białogard,"54,0070155 15,9860338",,,,,,2017-06-07 15:29,2,1,,
5138,LC K70-10 CO,Licznik CO BTBS-40,17,Licznik CO(O),R,37,693,"MAN,0,0,0,0,CO",Zamkowa 1,Miasto,A,Praca,Białogard,"54,0066813 15,9854544",,,,,,2017-06-07 15:29,2,1,,
5139,LC K80-01 CO,Licznik CO Alenowicz,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Plac Wolności 10a,Miasto,A,Praca,Białogard,"54,0043918 15,9906489",,,,,,2017-06-07 15:29,2,1,,
5140,LC K80-02 CO,Licznik CO ZNW-77,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Plac Wolności 6-10,Miasto,A,Praca,Białogard,"54,0044085 15,9902003",,,,,,2017-06-07 15:29,2,1,,
5141,LC K80-03 CO,Licznik CO ZNW-82,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Reymonta 1/2,Miasto,A,Praca,Białogard,"54,0040873 15,9900521",,,,,,2017-06-07 15:29,2,1,,
5142,LC K80-04 CO,Licznik CO ZNW-75,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Staromiejska 9/12/14/15,Miasto,A,Praca,Białogard,"54,0046664 15,9884487",,,,,,2017-06-07 15:29,2,1,,
5143,LC K80-05 CO,Licznik CO ZNW-04,17,Licznik CO(O),R,38,723,"BSM,1,126,1,37,CO",Staromiejska 1-3,Miasto,A,Praca,Białogard,"54,0053777 15,9880015",,,,,,2017-06-07 15:29,2,1,,
5144,LC K80-06 CO,Licznik CO Wyżlic,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Staromiejska 10,Miasto,A,Praca,Białogard,"54,0048417 15,988847",,,,,,2017-06-07 15:29,2,1,,
5145,LC K80-07 CO,Licznik CO Haber,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Staromiejska 4,Miasto,A,Praca,Białogard,"54,0052169 15,9886648",,,,,,2017-06-07 15:29,2,1,,
5146,LC K80-08 CO,Licznik CO Pawelczak sklep,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Staromiejska 9,Miasto,A,Praca,Białogard,"54,0049867 15,9881487",,,,,,2017-06-07 15:29,2,1,,
5147,LC K80-09 CO,Licznik CO BTBS Białogard,17,Licznik CO(O),R,38,723,"MAN,0,0,0,0,CO",Świętochowskiego,Miasto,A,Praca,Białogard,"54,0032464 15,9899381",,,,,,2017-06-07 15:29,2,1,,
5148,LC K80-10 CW,Licznik CW BTBS Białogard,18,Licznik CW(O),R,38,724,"MAN,0,0,0,0,CW",Świętochowskiego,Miasto,A,Praca,Białogard,"54,0032464 15,9899381",,,,,,2017-06-07 15:29,2,1,,
